Card Name,Temple,Tier,Cost,Power,Health,Sigils,Token,Traits,Tribes,Flavor Text,Credit
Cat with a Gun,Tech,Uncommon,3 max + 8 energy,2,3,"Sniper, Energy Gun, Boneless",,,Feline Bot,"You think this is funny, don't you?",Answearing Machine
Bee,Beast,Side Deck,free,1,1,"Airborne, Brittle",,,Insect,Unassuming but determined pests.,Pixel Profligate
Krill,Beast,Side Deck,free,0,1,Waterborne,,,Fish,One in a krillion.,Murigen
Squirrel,Beast,Side Deck,free,0,1,,,,Vermin,"Small, frail, but ever so useful.",Pixel Profligate
Beehive,Beast,Common,free,0,3,"Bees Within, Bloodless",Bee,,Insect,"Nonthreatening, if you leave it be.",Pixel Profligate
Lil' Frog,Beast,Common,free,0,1,Burrower,,,Amphibian,Just a little guy.,Pixel Profligate
Rabbit,Beast,Common,free,0,1,,,,Vermin,What purpose could it serve?,Pixel Profligate
Tadpole,Beast,Common,free,0,1,"Fledgling, Waterborne",Bullfrog,,Amphibian,"Small, frail, and pathetic... for now.",Pixel Profligate
Axolotl,Beast,Common,1 blood,1,1,Convalesce,,,Amphibian,A friend-shaped regenerator.,Pixel Profligate
Bullfrog,Beast,Common,1 blood,1,3,Mighty Leap,,,Amphibian,"Seemingly lazy, but ever watchful.",Pixel Profligate
Catfish,Beast,Common,1 blood,0,2,Sharp Quills,,,Fish Conduit,Quite a... shocking specimen.,Murigen
Crab,Beast,Common,1 blood,1,1,Armored,,,,"Tiny, scuttling, but resilient stature.",Murigen
Elk Fawn,Beast,Common,1 blood,1,1,"Sprinter, Fledgling",Elk,,Hooved,"Young, ambitious, and scared.",Pixel Profligate
Flying Ant,Beast,Common,1 blood,0,1,"Airborne, Colony",,,Ant Insect,"A pest alone, but devastating in swarm.",Pixel Profligate
Kingfisher,Beast,Common,1 blood,1,1,"Airborne, Waterborne",,,Avian,"A swift, slippery hunter.",Pixel Profligate
Mantis,Beast,Common,1 blood,1,1,Bifurcated Strike,,,Insect,A slight incarnation of terror.,Pixel Profligate
Mirror Tentacle,Beast,Common,1 blood,X,3,Facsimile,,,Tentacle,Curious...,Pixel Profligate
Mole,Beast,Common,1 blood,0,4,"Burrower, Bone Digger",,,Vermin,"Blind, but seemingly omnipresent.",Pixel Profligate
Piranha,Beast,Common,1 blood,1,1,"Aquanaut, Swarm, Bloodlust",,,Fish,Vicious pack-hunters of the rivers.,Ixams
Porcupine,Beast,Common,1 blood,1,2,Sharp Quills,,,Vermin,"An ornery, ever-annoying rodent.",Pixel Profligate
Raccoon,Beast,Common,1 blood,1,2,Scavenger,,,,A scrappy little gatherer.,Pixel Profligate
Raven Egg,Beast,Common,1 blood,0,2,Fledgling,Raven,,Avian,No less conniving in incubation.,Pixel Profligate
Ray,Beast,Common,1 blood,1,1,Waterborne,,,Fish Conduit,It makes its own electrical surges.,syntaxevasion
Ringworm,Beast,Common,1 blood,0,1,,,,Insect,"Resoundingly pointless, with little use.",Pixel Profligate
River Otter,Beast,Common,1 blood,1,1,Waterborne,,,,"Elusive, but not very menacing.",Pixel Profligate
Salamander,Beast,Common,1 blood,1,2,Poisonous,,,Amphibian,Just a touch could be deadly.,Pixel Profligate
Skink,Beast,Common,1 blood,1,2,Loose Tail,Wriggling Tail,,Reptile,It is trying to evade death at any cost.,Pixel Profligate
Skunk,Beast,Common,1 blood,0,3,Stinky,,,,A horrid stench to keep predators away.,Pixel Profligate
Sparrow,Beast,Common,1 blood,1,3,Airborne,,,Avian,"Meek and feeble, yes, but ever so useful.",Pixel Profligate
Squirrel Ball,Beast,Common,1 blood,0,3,Squirrel Shedder,,,Vermin,"An odd, almost unnatural behavior.",Pixel Profligate
Stoat,Beast,Common,1 blood,1,3,,,,Vermin,"A lowly, but ever noble creature.",Pixel Profligate
Tick,Beast,Common,1 blood,1,1,"Bloodsucker, Hearty Offering",,,Insect,A minor problem... if not ignored.,Pixel Profligate
Warren,Beast,Common,1 blood,0,2,"Rabbit Hole, Rabbit Soul",Rabbit,,,A bountiful pit of hares.,Pixel Profligate
Wolf Cub,Beast,Common,1 blood,1,2,Fledgling,Wolf,,Canine,"An ambitious predator, needing only time.",Pixel Profligate
Worker Ant,Beast,Common,1 blood,0,2,Colony,,,Ant Insect,"Weak alone, but overwhelming in force.",Pixel Profligate
Adder,Beast,Common,2 blood,2,2,Touch of Death,,,Reptile,"Always lethal, the caustic adder.",Pixel Profligate
Beaver,Beast,Common,2 blood,1,4,Dam Builder,,,Vermin,An industrious creature.,Pixel Profligate
Bell Tentacle,Beast,Common,2 blood,0,2,Bell Ringer,,,Tentacle,Interesting...,Pixel Profligate
Bloodhound,Beast,Common,2 blood,2,3,Guardian,,,Canine Hound,A fiercely loyal companion.,Pixel Profligate
Crocodile,Beast,Common,2 blood,2,2,"Aquanaut, Piercing, Bloodlust",,,Reptile,The force of its bite is inescapable.,Ixams
Dire Wolf Pup,Beast,Common,2 blood,1,2,"Fledgling, Bone Digger",Dire Wolf,,Canine,Sharpens its' teeth on scounged bones.,Pixel Profligate
Elk,Beast,Common,2 blood,2,4,Sprinter,,,Hooved,"Hearty of form, but flighty of nature.",Pixel Profligate
Field Mice,Beast,Common,2 blood,2,1,Fecundity,,,Vermin,"Where there is one, another is not far.",Pixel Profligate
Fox,Beast,Common,2 blood,1,3,"Side Hustle, Sprinter",,,Canine,"A skittish, but cunning predator.","Murigen, Ixams"
Hand Tentacle,Beast,Common,2 blood,X,2,Strong Hand,,,Tentacle,Strange...,Pixel Profligate
Hawk,Beast,Common,2 blood,3,1,"Airborne, Aquanaut",,,Avian,A violently efficient bird of prey.,Pixel Profligate
Leucochloridium,Beast,Common,2 blood,0,4,"Green Gem, Taunt",,,,Drawing the eyes of hungry beasts.,Synthia
Mud Turtle,Beast,Common,2 blood,2,2,Armored,,,Reptile,"A frail turtle, protected by its shell.",Pixel Profligate
Octopus,Beast,Common,2 blood,2,1,Evasion,,,,An ingenious escape artist.,Murigen
Pronghorn,Beast,Common,2 blood,1,3,"Sprinter, Bifurcated Strike",,,Hooved,"Oddly sadistic, this venerable beast.",Pixel Profligate
Rat King,Beast,Common,2 blood,2,1,Bone King,,,Noble Vermin,"Tragic royalty, destined to crumble.",Pixel Profligate
Raven,Beast,Common,2 blood,2,3,Airborne,,,Avian,"Horribly clever, this blight of a bird is.",Pixel Profligate
River Snapper,Beast,Common,2 blood,1,6,Bastion,,,Reptile,Stalwart in the face of adversity.,Pixel Profligate
Wild Bull,Beast,Common,2 blood,3,2,Rampager,,,Hooved,Little can stop this rampaging brute.,Pixel Profligate
Wolf,Beast,Common,2 blood,3,2,,,,Canine,A proud and ferocious contender.,Pixel Profligate
Blue Whale,Beast,Common,3 blood,1,7,"Regurgitate, Aquanaut",,,Fish,A massive stomach for a big appetite.,"Nevernamed, Murigen"
Bullet Ant,Beast,Common,2 blood,1,1,"Double Strike, Touch of Death",,,Ant Insect,A horrifyingly efficient pest.,Murigen
Dire Wolf,Beast,Common,3 blood,2,3,"Double Strike, Bone Digger",,,Canine,"Truly unrelenting, this terrifying canine.",Pixel Profligate
Great White,Beast,Common,3 blood,4,3,"Ravenous, Waterborne",,,Fish,Go fish.,Pixel Profligate
Grizzly,Beast,Common,3 blood,3,5,Aquanaut,,,,Its form speaks enough of its efficacy.,Pixel Profligate
Wriggling Tail,Beast,Common,1 bone,0,2,,,,Reptile,It's hard to call it cowardly...,Pixel Profligate
Dam,Beast,Common,2 bones,0,2,"Bastion, Bloodless",,,,The hard work of an industrious beast.,Pixel Profligate
Mealworm,Beast,Common,2 bones,0,2,Morsel,,,Insect,Does your mouth not water at the sight?,Pixel Profligate
Opossum,Beast,Common,2 bones,1,1,Scavenger,,,Vermin,"Resourceful, weak, but endearing.",Pixel Profligate
Bat,Beast,Common,3 bones,2,1,Airborne,,,Bat Vermin,"A minor, meddlesome terror.",Pixel Profligate
Cicada,Beast,Common,3 bones,0,1,"Annoying, Fecundity",,,Insect,Its incessant buzz brought insanity.,Pixel Profligate
Coyote,Beast,Common,3 bones,2,1,Bone Leech,,,Canine,A meager but dangerous scavenger.,Pixel Profligate
Hornet,Beast,Common,4 bones,1,2,"Airborne, Dive Bomb",,,Insect,Determined to inflict its aggression.,Murigen
Alpha,Beast,Common,5 bones,1,2,Leader,,,Canine,"A venerable leader, emboldening others.",Pixel Profligate
Corpse Maggots,Beast,Common,5 bones,1,2,Corpse Eater,,,Insect,"Always inevitable, emerging from death.",Pixel Profligate
Rattler,Beast,Common,5 bones,3,1,,,,Reptile,"Brittle, if you can survive its bite.",Pixel Profligate
Wolverine,Beast,Common,5 bones,1,3,Bloodlust,,,,"A vicious beast, bathed in blood.",Pixel Profligate
Turkey Vulture,Beast,Common,8 bones,3,3,Airborne,,,Avian,A horrid tyrant upon the skies.,Pixel Profligate
Black Goat,Beast,Uncommon,1 blood,0,1,Worthy Sacrifice,,,Hooved,"A true sacrifice, despite all the blood.",Pixel Profligate
Cat,Beast,Uncommon,1 blood,0,1,Nine Lives,Undead Cat,,,"It may not die, but it does feel the pain.",Pixel Profligate
Rooster,Beast,Uncommon,1 blood,2,2,"Annoying, Sprinter",,,Avian,Picking fights with everything.,Ixams
Strange Frog,Beast,Uncommon,1 blood,0,2,"Mighty Leap, Deathtrap, Bloodless",,,Amphibian Machine,A curious gadget in the shape of a beast.,Pixel Profligate
